stage,descricao,run,load_level,endpoint,p50_ms,p90_ms,p95_ms,p99_ms,avg_ms,max_ms,throughput_req_s,total_requests,error_rate
Stage 01b,Monolito atras do NGINX (controle),2,todos,post_order,10.15,223.33,256.88,314.77,61.51,509.87,,,0
Stage 01b,Monolito atras do NGINX (controle),2,medium,list_products,1.35,9.6,48.22,86.3,6.5,125.33,,,0
Stage 01b,Monolito atras do NGINX (controle),2,low,get_product,2.36,4.38,5.33,7.87,2.67,21.79,,,0
Stage 01b,Monolito atras do NGINX (controle),2,high,post_order,72.5,260.6,286.74,341.42,118.39,509.87,,,0
Stage 01b,Monolito atras do NGINX (controle),2,low,list_products,2.4,4.44,5.4,8.07,2.7,23.3,,,0
Stage 01b,Monolito atras do NGINX (controle),2,todos,get_product,5.11,216.3,250.01,308.39,56.36,503.54,,,0
Stage 01b,Monolito atras do NGINX (controle),2,todos,list_orders,6.21,217.99,251.51,311.12,57.7,501.33,,,0
Stage 01b,Monolito atras do NGINX (controle),2,todos,get_inventory,5.04,216.35,249.15,309.08,56.07,494.25,,,0
Stage 01b,Monolito atras do NGINX (controle),2,high,get_inventory,53.83,253.03,280.24,337.81,110.15,494.25,,,0
Stage 01b,Monolito atras do NGINX (controle),2,low,get_inventory,2.34,4.28,5.21,7.7,2.62,17.86,,,0
Stage 01b,Monolito atras do NGINX (controle),2,low,get_user,2.33,4.31,5.32,7.82,2.63,23.56,,,0
Stage 01b,Monolito atras do NGINX (controle),2,medium,post_order,3.45,14.12,52.37,89.29,8.85,126.31,,,0
Stage 01b,Monolito atras do NGINX (controle),2,todos,get_user,5.02,216.21,249.58,308.32,56.27,568.28,,,0
Stage 01b,Monolito atras do NGINX (controle),2,high,list_orders,61.72,255.29,282.3,336.87,112.67,501.33,,,0
Stage 01b,Monolito atras do NGINX (controle),2,high,todos,58.25,254.63,281.48,336.04,111.83,568.28,,,
Stage 01b,Monolito atras do NGINX (controle),2,low,post_order,6.17,9.73,11.13,14.81,6.45,28.48,,,0
Stage 01b,Monolito atras do NGINX (controle),2,medium,get_product,1.31,9.58,46.77,86.0,6.39,124.85,,,0
Stage 01b,Monolito atras do NGINX (controle),2,high,get_product,54.6,253.69,279.83,333.32,110.39,503.54,,,0
Stage 01b,Monolito atras do NGINX (controle),2,low,todos,2.69,6.25,7.74,11.05,3.3,28.48,,,
Stage 01b,Monolito atras do NGINX (controle),2,high,list_products,54.71,252.98,280.17,334.09,110.36,496.62,,,0
Stage 01b,Monolito atras do NGINX (controle),2,high,get_user,55.54,253.32,280.46,335.12,110.5,568.28,,,0
Stage 01b,Monolito atras do NGINX (controle),2,medium,list_orders,1.73,10.57,47.99,86.09,6.91,119.31,,,0
Stage 01b,Monolito atras do NGINX (controle),2,todos,list_products,5.15,216.34,249.16,308.8,56.35,496.62,,,0
Stage 01b,Monolito atras do NGINX (controle),2,low,list_orders,3.16,5.62,6.8,9.63,3.49,22.04,,,0
Stage 01b,Monolito atras do NGINX (controle),2,medium,get_user,1.31,9.27,46.92,85.86,6.36,125.41,,,0
Stage 01b,Monolito atras do NGINX (controle),3,low,post_order,6.04,9.76,11.28,14.73,6.37,28.39,,,0
Stage 01b,Monolito atras do NGINX (controle),3,high,list_products,58.7,249.28,277.83,333.87,109.92,589.27,,,0
Stage 01b,Monolito atras do NGINX (controle),3,medium,list_products,1.21,3.85,12.74,79.73,4.2,126.94,,,0
Stage 01b,Monolito atras do NGINX (controle),3,medium,get_product,1.19,3.82,12.92,79.76,4.21,130.78,,,0
Stage 01b,Monolito atras do NGINX (controle),3,todos,list_products,4.77,212.12,245.47,306.41,54.75,589.27,,,0
Stage 01b,Monolito atras do NGINX (controle),3,todos,get_user,4.78,212.3,245.66,307.38,54.8,569.68,,,0
Stage 01b,Monolito atras do NGINX (controle),3,todos,list_orders,5.84,213.78,247.57,308.35,56.12,567.66,,,0
Stage 01b,Monolito atras do NGINX (controle),3,high,post_order,73.85,257.4,285.91,344.22,118.07,578.92,,,0
Stage 01b,Monolito atras do NGINX (controle),3,medium,todos,1.39,4.94,14.15,80.23,4.58,130.78,,,
Stage 01b,Monolito atras do NGINX (controle),3,low,get_user,2.3,4.33,5.31,7.74,2.61,21.32,,,0
Stage 01b,Monolito atras do NGINX (controle),3,low,list_products,2.34,4.42,5.38,7.91,2.65,18.95,,,0
Stage 01b,Monolito atras do NGINX (controle),3,todos,get_product,4.88,212.62,245.91,306.3,55.15,569.18,,,0
Stage 01b,Monolito atras do NGINX (controle),3,high,todos,61.85,250.92,279.61,336.38,111.45,589.27,,,
Stage 01b,Monolito atras do NGINX (controle),3,low,get_inventory,2.29,4.26,5.23,7.71,2.58,13.29,,,0
Stage 01b,Monolito atras do NGINX (controle),3,todos,todos,5.77,213.64,247.17,308.71,55.8,589.27,1545.8,1576994,0
Stage 01b,Monolito atras do NGINX (controle),3,low,get_product,2.32,4.36,5.37,7.65,2.62,15.64,,,0
Stage 01b,Monolito atras do NGINX (controle),3,high,get_user,58.56,249.41,278.33,335.04,109.9,569.68,,,0
Stage 01b,Monolito atras do NGINX (controle),3,high,get_product,59.94,249.44,277.96,333.02,110.18,569.18,,,0
Stage 01b,Monolito atras do NGINX (controle),3,medium,post_order,3.2,7.42,18.16,82.85,6.46,127.22,,,0
Stage 01b,Monolito atras do NGINX (controle),3,todos,get_inventory,4.77,213.1,246.83,307.93,55.04,566.69,,,0
Stage 01b,Monolito atras do NGINX (controle),3,low,todos,2.65,6.15,7.62,11.05,3.26,28.39,,,
Stage 01b,Monolito atras do NGINX (controle),3,high,list_orders,63.28,251.42,280.02,336.13,112.04,567.66,,,0
Stage 01b,Monolito atras do NGINX (controle),3,medium,get_inventory,1.18,3.95,14.43,78.83,4.23,120.94,,,0
Stage 01b,Monolito atras do NGINX (controle),3,high,get_inventory,59.88,250.79,278.82,337.43,110.55,566.69,,,0
Stage 01b,Monolito atras do NGINX (controle),3,medium,get_user,1.18,3.81,13.43,79.79,4.2,127.95,,,0
Stage 01b,Monolito atras do NGINX (controle),3,low,list_orders,3.06,5.55,6.61,9.3,3.41,18.76,,,0
Stage 01b,Monolito atras do NGINX (controle),3,medium,list_orders,1.55,4.64,13.21,80.12,4.58,125.77,,,0
Stage 01b,Monolito atras do NGINX (controle),3,todos,post_order,9.85,219.58,253.4,315.82,60.14,578.92,,,0
Stage 02,Users extraido,1,low,get_product,2.27,4.17,5.1,7.55,2.56,22.93,,,0
Stage 02,Users extraido,1,low,get_user,2.28,4.01,4.85,7.11,2.53,21.6,,,0
Stage 02,Users extraido,1,todos,list_products,3.83,155.33,187.52,239.74,35.69,492.1,,,0
Stage 02,Users extraido,1,high,list_products,21.93,187.56,212.63,259.28,68.34,492.1,,,0
Stage 02,Users extraido,1,high,get_user,14.63,178.75,203.36,250.62,62.09,473.78,,,0
Stage 02,Users extraido,1,medium,get_user,1.13,1.94,2.44,4.1,1.32,16.28,,,0
Stage 02,Users extraido,1,high,post_order,30.66,193.66,218.18,266.29,75.34,503.97,,,0
Stage 02,Users extraido,1,medium,todos,1.24,3.0,3.71,5.76,1.65,27.07,,,
Stage 02,Users extraido,1,low,post_order,5.96,9.76,11.58,16.05,6.39,40.86,,,0
Stage 02,Users extraido,1,high,get_product,22.15,188.44,213.52,259.61,68.95,482.11,,,0
Stage 02,Users extraido,1,medium,list_products,1.1,2.0,2.54,4.33,1.31,16.96,,,0
Stage 02,Users extraido,1,high,get_inventory,22.01,187.92,213.49,260.55,68.39,482.61,,,0
Stage 02,Users extraido,1,todos,get_user,3.25,146.27,178.53,230.71,32.39,473.78,,,0
Stage 02,Users extraido,1,medium,post_order,2.96,4.68,5.6,8.15,3.29,27.07,,,0
Stage 02,Users extraido,1,todos,get_product,3.81,156.01,188.52,240.96,36.09,482.11,,,0
Stage 02,Users extraido,1,medium,list_orders,1.43,2.58,3.26,5.29,1.69,21.19,,,0
Stage 02,Users extraido,1,todos,get_inventory,3.76,154.88,187.86,241.72,35.67,482.61,,,0
Stage 02,Users extraido,1,low,list_orders,3.03,5.31,6.45,9.33,3.35,19.92,,,0
Stage 02,Users extraido,1,high,list_orders,24.45,190.18,215.14,262.04,70.61,481.01,,,0
Stage 02,Users extraido,1,low,get_inventory,2.26,4.14,5.08,7.78,2.56,21.97,,,0
Stage 02,Users extraido,1,todos,list_orders,4.78,156.83,189.96,242.35,36.98,481.01,,,0
Stage 02,Users extraido,1,medium,get_inventory,1.08,1.96,2.48,4.19,1.29,19.06,,,0
Stage 02,Users extraido,1,todos,todos,4.34,153.75,186.35,239.14,35.6,503.97,1774.8,1810628,0
Stage 02,Users extraido,1,low,list_products,2.3,4.26,5.17,7.79,2.6,24.59,,,0
Stage 02,Users extraido,1,low,todos,2.59,5.99,7.48,11.22,3.21,40.86,,,
Stage 02,Users extraido,1,medium,get_product,1.09,1.96,2.49,4.25,1.29,15.81,,,0
Stage 02,Users extraido,1,todos,post_order,8.65,161.06,193.54,246.52,40.46,503.97,,,0
Stage 02,Users extraido,1,high,todos,21.88,186.45,211.45,258.62,67.84,503.97,,,
Stage 02,Users extraido,2,medium,post_order,2.95,4.7,5.66,8.42,3.3,25.55,,,0
Stage 02,Users extraido,2,low,post_order,5.9,9.54,11.08,15.18,6.26,35.14,,,0
Stage 02,Users extraido,2,low,get_inventory,2.3,4.31,5.32,8.21,2.62,20.6,,,0
Stage 02,Users extraido,2,high,get_product,26.04,187.54,213.49,271.76,68.55,517.19,,,0
Stage 02,Users extraido,2,medium,get_user,1.15,1.99,2.52,4.38,1.35,15.18,,,0
Stage 02,Users extraido,2,todos,todos,5.25,151.85,187.29,246.78,36.04,522.04,1768.6,1804196,0
