stage,descricao,run,metric,unit,target,load_level,samples,mean,p95,max
Stage 01,Monolito completo,3,gc_pause_ms,ms,cadvisor,high,30,0.189,0.445,0.446
Stage 01,Monolito completo,3,gc_pause_ms,ms,prometheus,low,30,0.066,0.14,0.165
Stage 01,Monolito completo,3,gc_pause_ms,ms,prometheus,medium,30,0.026,0.071,0.071
Stage 01,Monolito completo,3,gc_pause_ms,ms,prometheus,high,30,0.045,0.165,0.165
Stage 01,Monolito completo,3,pool_acquired_conns,conexoes,monolith,low,30,0.367,2.55,4.0
Stage 01,Monolito completo,3,pool_acquired_conns,conexoes,monolith,medium,30,0.933,5.55,7.0
Stage 01,Monolito completo,3,pool_acquired_conns,conexoes,monolith,high,30,4.433,13.0,13.0
Stage 01,Monolito completo,3,pool_idle_conns,conexoes,monolith,low,30,13.533,14.0,14.0
Stage 01,Monolito completo,3,pool_idle_conns,conexoes,monolith,medium,30,13.067,14.0,14.0
Stage 01,Monolito completo,3,pool_idle_conns,conexoes,monolith,high,30,9.567,14.0,14.0
Stage 01,Monolito completo,3,pool_total_conns,conexoes,monolith,low,30,13.9,14.0,14.0
Stage 01,Monolito completo,3,pool_total_conns,conexoes,monolith,medium,30,14.0,14.0,14.0
Stage 01,Monolito completo,3,pool_total_conns,conexoes,monolith,high,30,14.0,14.0,14.0
Stage 01,Monolito completo,3,pool_wait_per_acquire_ms,ms,monolith,low,30,0.012,0.016,0.027
Stage 01,Monolito completo,3,pool_wait_per_acquire_ms,ms,monolith,medium,30,0.131,0.215,0.241
Stage 01,Monolito completo,3,pool_wait_per_acquire_ms,ms,monolith,high,30,0.067,0.085,0.117
Stage 01,Monolito completo,3,pool_empty_acquire_per_s,por segundo,monolith,low,30,5.237,6.895,6.98
Stage 01,Monolito completo,3,pool_empty_acquire_per_s,por segundo,monolith,medium,30,198.458,302.078,324.18
Stage 01,Monolito completo,3,pool_empty_acquire_per_s,por segundo,monolith,high,30,403.762,474.191,503.1
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,api,low,60,41.847,46.688,47.61
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,api,medium,60,82.321,96.846,105.2
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,api,high,60,173.856,182.44,183.85
Stage 01,Monolito completo,3,memory_mb,MB,api,low,60,18.608,19.882,20.25
Stage 01,Monolito completo,3,memory_mb,MB,api,medium,60,24.639,25.354,26.02
Stage 01,Monolito completo,3,memory_mb,MB,api,high,60,36.171,36.951,37.08
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,grafana,low,60,0.067,0.113,0.19
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,grafana,medium,60,0.055,0.1,0.16
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,grafana,high,60,0.046,0.07,0.08
Stage 01,Monolito completo,3,memory_mb,MB,grafana,low,60,46.528,48.77,48.78
Stage 01,Monolito completo,3,memory_mb,MB,grafana,medium,60,43.174,43.45,43.46
Stage 01,Monolito completo,3,memory_mb,MB,grafana,high,60,43.034,43.05,43.27
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,postgres,low,60,30.402,34.439,38.61
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,postgres,medium,60,65.496,75.532,79.16
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,postgres,high,60,146.892,152.523,156.2
Stage 01,Monolito completo,3,memory_mb,MB,postgres,low,60,62.506,65.234,65.56
Stage 01,Monolito completo,3,memory_mb,MB,postgres,medium,60,75.79,84.011,85.19
Stage 01,Monolito completo,3,memory_mb,MB,postgres,high,60,111.865,133.015,134.6
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,prometheus,low,60,0.301,0.45,2.52
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,prometheus,medium,60,0.192,0.36,0.39
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,prometheus,high,60,0.188,0.31,0.38
Stage 01,Monolito completo,3,memory_mb,MB,prometheus,low,60,40.218,40.931,41.04
Stage 01,Monolito completo,3,memory_mb,MB,prometheus,medium,60,38.014,40.811,41.07
Stage 01,Monolito completo,3,memory_mb,MB,prometheus,high,60,37.262,38.84,39.34
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,cadvisor,low,60,0.962,2.581,3.32
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,cadvisor,medium,60,0.541,1.699,2.52
Stage 01,Monolito completo,3,cpu_percent,percentual de um nucleo,cadvisor,high,60,0.546,1.534,2.14
Stage 01,Monolito completo,3,memory_mb,MB,cadvisor,low,60,19.108,21.127,22.4
Stage 01,Monolito completo,3,memory_mb,MB,cadvisor,medium,60,19.908,20.939,21.62
Stage 01,Monolito completo,3,memory_mb,MB,cadvisor,high,60,21.008,21.97,22.91
Stage 01b,Monolito atras do NGINX (controle),1,process_cpu_percent,percentual de um nucleo,monolith,low,30,45.934,51.528,51.66
Stage 01b,Monolito atras do NGINX (controle),1,process_cpu_percent,percentual de um nucleo,monolith,medium,30,98.238,106.391,106.48
Stage 01b,Monolito atras do NGINX (controle),1,process_cpu_percent,percentual de um nucleo,monolith,high,30,142.282,146.585,147.209
Stage 01b,Monolito atras do NGINX (controle),1,process_cpu_percent,percentual de um nucleo,cadvisor,low,30,0.253,0.34,0.36
Stage 01b,Monolito atras do NGINX (controle),1,process_cpu_percent,percentual de um nucleo,cadvisor,medium,30,0.159,0.2,0.22
Stage 01b,Monolito atras do NGINX (controle),1,process_cpu_percent,percentual de um nucleo,cadvisor,high,30,0.18,0.24,0.26
Stage 01b,Monolito atras do NGINX (controle),1,process_cpu_percent,percentual de um nucleo,prometheus,low,30,0.182,0.235,0.28
